category	name	asset_guid
Trainable	Sensationalist	49a35afe01bf446928512500bba1c535
Trainable	Sharp Pen	fcf356a0f56284f2d80dba55666d9077
Trainable	Skillful	a8266f3c4e4d048dea6510503b06b05d
Trainable	Sociologist	40b896b9f6a634c03bb521a9a9d25764
Trainable	Spin Doctor	ed9b914689f7841bc98f9464c5db7ae1
Trainable	Sports Expert	b8cd1602b14fc442dbbf193dde236b65
Trainable	Teacher	e1ce5f3ad769b481e99bda28d468d36a
Trainable	Team Player	c74a95bc257184b6c8e73a40ca359508
Trainable	Third Fiddle	2ad940fc514054309871f7c767a09e13
Trainable	Timekeeper	8194ee54a638b4937bdfc5b806bb3b82
Trainable	Trailblazer	da7cf7fc146714f8fa486960dea6e5e1
Trainable	Undercover	54851c2bbd1e34e9896b6bbe266c4fbe
Trainable	Wayfinder	4d639dede868c4c7191ae1b2c683b7a9
